Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,1.2194963309528735,1.3579260932447925,2.365145346774514,1.1741676888231598,1.3766764038440222,3.594023414493471,1.452844097221973,3.473949131861516,6.493453131210908,6.190346372219394,1.8530349744993786,2.421228744127709,4.26468950365388,2.602888159806959,5.682535174548841,0.8551811554881942,1.5869008307139456,2.9996041869783974,1.1443972279581593,1.597660898020017,1.4983165167797539,2.343590141542291,2.037813799530897,1.3065295124552259,2.950857882204488
2021-01-19,1.1927998052147026,1.4179455593992956,2.4068985628769033,1.1455016318479827,1.465993016562518,3.3891676817558656,1.4802450019156579,2.7063798019880023,5.484848648940646,6.910714437822446,1.786969775329988,2.3489956810253867,3.4748436116480446,2.6776343891862044,4.624208274606883,0.9089510657278385,1.4173630987590236,3.3136499620256887,1.4852208271504717,1.5753909284758056,1.2918543416778987,2.3207759401068166,2.1590425550409,1.2537744958447863,3.1808657869959207
2021-01-20,1.706285906609799,1.5163080642347995,2.3920463822869746,1.4982850727841623,2.686820345975466,3.207817733114487,2.626080355329982,2.2088849493726883,4.052221426336155,7.298417620252634,1.5134416823097094,2.2234616411846946,2.075566183790418,2.5707249556435503,4.115134613045187,0.9786748790378306,1.3214857210794122,3.305367936176445,1.8820934853546776,1.2898369029897523,1.0549649552819635,2.329739910097052,1.8695351205939719,1.4168928922786042,3.4491110980068718
2021-01-21,1.932282644132693,2.1647553710411973,2.1843916862162924,2.1497638919296778,3.228425579822146,3.6190863373406823,3.1706857097096712,1.945573470186323,2.3826648378319693,6.982654984578163,1.4959400357517163,1.7581903814615056,1.5935260165128435,2.5161472745007325,3.5076942250076906,1.0195260355768168,1.457035420603088,3.253400472201774,2.0527073889602008,1.1723109102923164,1.2674364771015725,1.9162010079614715,1.8582070117967728,1.5232127058694656,3.385211972052287
2021-01-22,2.2598974590342857,2.9976753181365865,2.3323129137852887,2.4743561977144832,3.741734775202806,3.910592116682279,3.6934626109500712,1.7317069850099145,2.110573757231928,6.417516374751618,1.3944544262100889,1.8148612909029687,1.8093773144495875,2.4260611856329968,2.8310934900312623,1.195255618750042,1.697141557559287,3.1587244074955665,2.2718672314098898,1.0999155929747702,1.3958100615183064,1.5219669785893704,1.7823163818481813,1.8573338322812833,3.224164473822776
2021-01-25,2.752384945429375,4.083965169479937,2.3766843288883255,2.7138694972593624,4.119821246456647,4.3981836899953795,4.051008769627698,1.759167703043321,2.1304466148870964,5.548917487502491,1.187532845991001,1.8053474982432691,2.207926164436449,2.0226147771116154,2.294592200665514,1.5648828566341286,1.9160564295411235,2.663367365577672,2.0915083366492704,0.8772338839630869,1.5042939291268331,1.057766676168277,1.403721319264227,2.068481652629202,3.182816793850639
2021-01-26,3.2527137605555416,4.651928486848108,2.328447619044054,2.8488455026801422,4.3398361268951895,4.972589401252967,4.296280498186154,2.1257107925822716,2.0156723551169953,5.898016812348933,1.1969594861566548,1.6712248246574974,2.568818759579735,1.5541367551405962,2.6406230326365456,2.3047338495747747,1.9279501961165897,2.274164626407454,1.8666905560938123,0.8973971975079098,1.3080396053268901,1.0977092169878144,1.4524003708868218,2.262845145620433,2.726786024002997
2021-01-27,3.462875068712843,4.779171424479879,2.6013696098589625,2.6604516063147767,4.030871263715005,4.726586139894959,3.994573602893069,2.6371814766273425,2.05095291881027,4.962301445236342,1.8805937366116812,1.8257253607824016,3.1199568390125147,1.8589034815720809,3.2287322711491235,2.3139871106731236,1.9625974770812489,2.468342910446804,2.0264188798288503,1.0140657745227548,2.2454602113454776,2.6199980676104153,1.5405969830544122,2.1977221689033066,2.5222909695840974
